Time,Pressure
2.13,30.4
2.24,30.39
2.35,30.39
2.45,30.39
2.56,30.38
2.66,30.37
2.77,30.37
2.88,30.36
2.98,30.36
3.09,30.36
3.19,30.35
3.3,30.35
3.4,30.34
3.51,30.34
3.62,30.34
3.72,30.33
3.83,30.33
3.93,30.32
4.04,30.32
4.15,30.31
4.25,30.31
4.36,30.31
4.46,30.3
4.57,30.3
4.67,30.29
4.78,30.29
4.89,30.28
4.99,30.28
5.1,30.27
5.2,30.27
5.31,30.27
5.42,30.28
5.52,30.31
5.63,30.35
5.73,30.46
5.84,30.63
5.95,30.85
6.05,31.08
6.16,31.32
6.26,31.54
6.37,31.74
6.47,31.93
6.58,32.1
6.69,32.25
6.79,32.39
6.9,32.52
7.0,32.64
7.11,32.75
7.22,32.85
7.32,32.95
7.43,33.04
7.53,33.12
7.64,33.2
7.74,33.28
7.85,33.35
7.96,33.42
8.06,33.48
8.17,33.54
8.27,33.6
8.38,33.66
8.49,33.72
8.59,33.77
8.7,33.81
8.8,33.84
8.91,33.84
9.01,33.82
9.12,33.79
9.23,33.75
9.33,33.71
9.44,33.67
9.54,33.63
9.65,33.6
9.76,33.57
9.86,33.54
9.97,33.52
10.07,33.49
10.18,33.47
10.28,33.45
10.39,33.43
10.5,33.42
10.6,33.4
10.71,33.39
10.81,33.37
10.92,33.36
11.03,33.35
11.13,33.33
11.24,33.32
11.34,33.31
11.45,33.3
11.56,33.28
11.66,33.27
11.77,33.25
11.87,33.24
11.98,33.23
12.09,33.21
12.19,33.2
12.3,33.19
12.4,33.18
12.51,33.16
12.61,33.15
12.72,33.14
12.83,33.13
12.93,33.12
13.04,33.11
13.14,33.1
13.25,33.09
13.36,33.08
13.46,33.07
13.57,33.06
13.67,33.05
13.78,33.04
13.89,33.03
13.99,33.02
14.1,33.01
14.2,33.0
14.31,32.99
14.41,32.98
14.52,32.97
14.63,32.96
14.73,32.95
14.84,32.94
14.94,32.93
15.05,32.92
15.16,32.91
15.26,32.9
15.37,32.89
15.47,32.88
15.58,32.87
15.69,32.86
15.79,32.85
15.9,32.84
16.0,32.83
16.11,32.82
16.22,32.81
16.32,32.8
16.43,32.79
16.53,32.78
16.64,32.77
16.74,32.76
16.85,32.75
16.96,32.74
17.06,32.73
17.17,32.72
17.27,32.71
17.38,32.7
17.49,32.69
17.59,32.68
17.7,32.67
17.8,32.66
17.91,32.65
18.02,32.64
18.12,32.63
18.23,32.62
18.33,32.61
18.44,32.6
18.54,32.59
18.65,32.58
18.76,32.57
18.86,32.56
18.97,32.55
19.07,32.54
19.18,32.53
19.29,32.53
19.39,32.52
