Time[s],Pressure[atm]
0.86,28.79
0.97,28.79
1.08,28.79
1.18,28.78
1.29,28.78
1.39,28.78
1.5,28.78
1.61,28.78
1.71,28.78
1.82,28.78
1.92,28.77
2.03,28.77
2.13,28.77
2.24,28.76
2.35,28.76
2.45,28.76
2.56,28.76
2.66,28.75
2.77,28.75
2.88,28.75
2.98,28.75
3.09,28.74
3.19,28.74
3.3,28.74
3.4,28.74
3.51,28.74
3.62,28.73
3.72,28.73
3.83,28.73
3.93,28.73
4.04,28.72
4.15,28.72
4.25,28.72
4.36,28.72
4.46,28.72
4.57,28.71
4.68,28.71
4.78,28.71
4.89,28.71
4.99,28.71
5.1,28.7
5.2,28.7
5.31,28.7
5.42,28.7
5.52,28.69
5.63,28.69
5.73,28.69
5.84,28.68
5.95,28.68
6.05,28.68
6.16,28.68
6.26,28.68
6.37,28.67
6.47,28.67
6.58,28.67
6.69,28.67
6.79,28.67
6.9,28.66
7.0,28.66
7.11,28.66
7.22,28.66
7.32,28.66
7.43,28.65
7.53,28.65
7.64,28.65
7.74,28.65
7.85,28.65
7.96,28.64
8.06,28.64
8.17,28.64
8.27,28.64
8.38,28.63
8.49,28.63
8.59,28.63
8.7,28.63
8.8,28.62
8.91,28.62
9.01,28.62
9.12,28.62
9.23,28.62
9.33,28.61
